primaryName,originalTitle,birthYear,deathYear,primaryProfession
Logan O'Brien,Serenity,1992,0,director
Emile Edwin Smith,Serenity,1971,0,director
Emile Edwin Smith,Serenity,1971,0,writer
Terrell Tilford,Serenity,1969,0,writer
Erik Weiner,Serenity,1977,0,writer
Kelly Wheeler,Serenity,1977,0,writer
Glenn Howerton,Serenity,1976,0,writer
Scott Kinworthy,Serenity,1974,0,writer
Santiago Palavecino,Otra vuelta,1974,0,writer
Santiago Palavecino,Otra vuelta,1974,0,director
Danny Comden,Pretty Persuasion,1969,0,writer
Marcos Siega,Pretty Persuasion,1969,0,director
Mike Kelly,Stealaway,1945,0,director
Mike Kelly,Stealaway,1945,0,writer
Trev Anderson,Stealaway,1983,0,director
John Doran,Stealaway,1988,0,director
Matthew Rimmer,The Good Humor Man,1970,0,writer
David Chandler,Hide and Seek,1950,0,writer
John Polson,Hide and Seek,1965,0,director
Barra Grant,Life of the Party,1948,0,writer
Justine Clarke,Look Both Ways,1971,0,writer
William McInnes,Look Both Ways,1961,0,writer
Sarah Watt,Look Both Ways,1958,2011,director
Sarah Watt,Look Both Ways,1958,2011,writer
